id name,real,predict
10gs,6.4,5.402536
1a30,4.3,5.610646
1bcu,3.28,5.172722
1.00E+66,9.89,7.0870895
1f8b,5.4,4.5993524
1f8c,7.4,5.8345003
1f8d,3.4,4.7163763
1gpk,5.37,7.021661
1h23,8.35,7.443083
1hfs,8.7,8.053186
1hnn,6.24,6.354529
1igj,10,8.56293
1jyq,8.7,7.453725
1kel,7.28,7.334359
1lbk,3.18,4.086784
1lol,6.39,5.8735986
1loq,3.7,5.688486
1lor,11.06,6.2180853
1mq6,11.15,8.868952
1n1m,5.7,6.026581
1n2v,4.08,4.794355
1nvq,8.25,8.220251
1o3f,7.96,6.186674
1o5b,5.77,5.413566
1os0,6.03,6.179656
1oyt,7.24,7.659776
1p1q,4.89,6.1872234
1ps3,2.28,5.597101
1q8t,4.76,5.924561
1q8u,5.96,6.867123
1qi0,2.35,3.8741326
1r5y,6.46,5.6666636
1sln,6.64,7.0496674
1sqa,9.21,7.1057587
1u1b,7.8,6.413758
1u33,4.6,4.6372943
1uto,2.27,2.874595
1vso,4.72,6.981185
1w3k,4.3,4.5377026
1w3l,6.28,4.5968294
1w4o,5.22,4.742567
1xd0,7.12,6.003652
1yc1,6.17,6.6568
1z95,7.12,8.0006695
1zea,5.22,7.0443587
2brb,4.86,5.995963
2cbj,8.27,7.2526364
2cet,8.02,7.197146
2d1o,7.7,6.849978
2d3u,6.92,6.6049094
2fvd,8.52,7.490591
2g70,7.77,7.2300034
2gss,4.94,5.0965977
2hb1,3.8,4.4213185
2iwx,6.68,6.4589934
2j62,11.34,8.75399
2j78,6.42,5.772485
2jdm,5.4,5.7129245
2jdu,6.72,5.765064
2jdy,4.37,5.6185102
2obf,8.85,7.607925
2ole,7.25,7.6319585
2p4y,9,7.291348
2pcp,8.7,7.569036
2pq9,8.11,6.8538237
2qbp,8.4,6.3586926
2qbr,6.33,5.6342216
2qft,5.26,4.214383
2qmj,4.21,6.0246983
2r23,3.72,4.8621106
2v00,3.66,3.029371
2v7a,8.3,7.4691763
2vl4,6.01,5.6560907
2vo5,4.89,5.952807
2vot,7.14,7.162754
2vvn,7.3,6.5274305
2vw5,8.52,6.1567802
2w66,4.05,6.1549354
2wbg,4.45,6.534366
2wca,5.6,6.897038
2weg,6.5,7.248475
2wtv,8.74,7.9415135
2x00,11.33,8.144555
2x0y,4.6,4.7033916
2x8z,7.96,6.1287084
2x97,5.66,5.866542
2xb8,7.59,5.8512654
2xbv,8.43,8.005574
2xdl,3.1,5.066274
2xhm,6.8,5.798979
2xnb,6.83,6.3365145
2xy9,9.19,8.151424
2xys,7.42,7.4147177
2y5h,5.79,7.711274
2yfe,6.63,5.8202357
2yge,5.06,6.0540204
2yki,9.46,7.6339965
2ymd,3.16,4.9719405
2zcq,8.82,6.7463064
2zcr,6.87,6.8588834
2zjw,7.7,7.10432
2zwz,7.79,7.573677
2zx6,10.6,9.559
2zxd,5.22,6.7737055
3acw,4.76,6.11034
3ag9,8.05,6.7419453
3ao4,2.07,3.5411248
3b3s,2.55,4.1566257
3b3w,4.19,4.5310044
3b68,8.4,8.087093
3bfu,6.27,6.2889576
3bkk,6.08,7.7436705
3bpc,4.8,5.355785
3cft,4.19,5.285074
3cj2,4.85,5.5140414
3coy,6.02,7.0203753
3cyx,8,7.5906653
3d4z,4.89,5.513723
3dd0,9,7.992355
3dxg,2.4,4.712149
3.00E+93,8.85,7.951028
3ebp,5.91,6.5127068
3ehy,5.85,6.8988543
3ejr,8.57,7.382028
3f17,8.63,7.329321
3f3a,4.19,4.9262533
3f3c,6.02,4.881766
3f3e,7.7,5.2908816
3f80,4.22,4.86014
3fcq,2.77,4.29503
3fk1,2.62,4.1443477
3fv1,9.3,8.302515
3g0w,9.52,8.490168
3g2n,4.09,4.3991284
3g2z,2.36,2.979996
3gbb,6.9,7.5640235
3gcs,7.25,7.440722
3ge7,8.7,6.847286
3gnw,9.1,7.7229896
3gy4,5.1,3.9059994
3huc,5.99,6.999891
3i3b,2.23,3.363253
3imc,2.96,2.835585
3ivg,4.3,5.772496
3jvs,6.54,7.302789
3k5v,6.3,7.0299044
3kgp,2.57,2.7689347
3kv2,7.32,5.2005086
3kwa,4.08,4.8479147
3l3n,8.18,8.039506
3l4u,7.52,6.07833
3l4w,6,5.970325
3l7b,2.4,4.309487
3lka,2.82,6.2982907
3mfv,2.52,3.7678504
3mss,4.66,5.68963
3muz,3.46,3.7606719
3myg,10.7,7.4596844
3n7a,3.7,4.326131
3n86,5.64,6.3412113
3nox,8.66,8.24138
3nq3,3.78,4.685083
3nw9,9,7.8434668
3oe5,6.88,6.210962
3ov1,5.2,6.234873
3owj,6.07,7.4893823
3ozt,4.13,6.2616925
3pe2,9.76,7.815151
3pww,7.32,6.850687
3pxf,4.43,4.6942444
3s8o,6.85,6.4705653
3su2,7.35,7.5639014
3su3,9.13,7.5975485
3su5,5.58,7.344513
3u9q,4.38,4.6016855
3udh,2.85,3.523453
3ueu,5.24,5.2275276
3uex,6.92,6.1228824
3uo4,6.52,7.1145315
3uri,6.99,6.8802376
3utu,10.92,8.755776
3vd4,4.82,3.7495322
3vh9,6.24,4.9029694
3zso,5.12,4.131832
3zsx,3.28,3.4561887
4de1,5.96,4.437832
4de2,4.12,4.548133
4des,5.85,6.2230515
4dew,6.07,6.0555315
4djr,11.52,9.515018
4djv,6.72,6.3981357
4g8m,7.89,6.0305862
4gid,10.77,7.724773
4gqq,2.89,3.2713518
4tmn,10.17,6.412285
